'person', 'title', 'company', 'dates'
'57', 'team lead', 'Tech Mahindra', 'Dezember 2015 bis  Gegenwart'
'57', 'Marketing Analytics Platform (AMAP)', 'Accenture Marketing and Analytics Platform - Gurgaon, Haryana', 'Januar 2015 bis  Dezember 2015'
'57', 'Java and ExtJS programmer/analyst(SE)', 'Accenture Marketing and Analytics Platform', 'August 2011 bis  Dezember 2015'
'58', 'Developer', 'MSBI - Jersey City, NJ', 'März 2013 bis  Gegenwart'
'58', 'global business Partner', 'TSI Logistics - Atlanta, GA', 'April 2012 bis  Februar 2013'
'58', 'SSIS/SSRS/SSAS/SQL Developer/SQL DBA', 'Blue Shield of California - San Jose, CA', 'September 2010 bis  März 2012'
'58', 'Extensively used Informatica Repository Manager and Workflow Monitor', 'State Firm Insurance - Chicago, IL', 'November 2007 bis  Juli 2010'
'58', 'msbi developer', 'State Firm Insurance', '2008 bis  2008'
'58', 'SharePoint Designer, SQL Server Management Studio', 'State Firm Insurance', '2008 bis  2008'
'59', 'Web Developer', 'Speed Techno Labs Pvt. Ltd', 'September 2014 bis  Juli 2015'
'59', 'Website Development and System Administrator', 'Raja Infotech Pvt. Ltd', 'Oktober 2012 bis  Juli 2013'
'60', 'Software Developer', 'NAVIS - Bend, OR', 'Januar 2004 bis  Mai 2016'
'61', 'Developer', 'University of California', 'September 2012 bis  Gegenwart'
'61', 'Vice President', 'Citigroup', 'Oktober 2011 bis  September 2012'
'61', 'Senior Application Systems Developer, I', 'Columbia University, NY', 'September 2010 bis  Oktober 2011'
'61', 'PS T&L & ADP. As a Technology Lead', 'Dow Jones & Company, NJ', 'April 2010 bis  August 2010'
'61', 'None', 'Citigroup, Tampa', 'November 2006 bis  April 2010'
'61', 'member of the Peoplesoft Application team', 'Keppel FELS Limited - Singapore', 'Mai 2006 bis  September 2006'
'61', 'None', 'NESS Global Services Pte Ltd - Singapore', 'April 2004 bis  Mai 2006'
'61', 'member of the offshore team', 'Kurt Salmon Associates', 'Oktober 2002 bis  März 2004'
'61', 'None', 'NESS Technologies (India) Limited', 'Juni 2000 bis  März 2002'
'61', 'None', 'Godrej - GE Appliances Limited - Mumbai, Maharashtra', 'September 1999 bis  Juni 2000'
'62', '.Net developer', 'Smart Utility Systems - Irvine, CA', 'Februar 2016 bis  Gegenwart'
'62', 'Software Engineering Intern', 'Jabil Circuit - Anaheim, CA', 'Juni 2015 bis  September 2015'
